,Anime_Name,Anime_img_url,Sub_Dub
0,Lupin Zero,https://img.zorores.com/_r/300x400/100/3a/20/3a205accc34ed3be091e1b6abbbe7c6a/3a205accc34ed3be091e1b6abbbe7c6a.jpg,['SUB']
1,The Three-Body Problem,https://img.zorores.com/_r/300x400/100/c3/55/c355a0b8f4152347f68aede7497987b2/c355a0b8f4152347f68aede7497987b2.jpg,['SUB']
2,One Piece Film: Red,https://img.zorores.com/_r/300x400/100/a1/e9/a1e98b07e290cd9653b41a895342a377/a1e98b07e290cd9653b41a895342a377.jpg,"['SUB', 'DUB']"
3,Me & Roboco,https://img.zorores.com/_r/300x400/100/b3/6a/b36a905f2d058ffa30672be696b647aa/b36a905f2d058ffa30672be696b647aa.jpg,['SUB']
4,Lookism,https://img.zorores.com/_r/300x400/100/36/f7/36f79c46b79fcd43c27b20c34ba84ead/36f79c46b79fcd43c27b20c34ba84ead.jpg,"['SUB', 'DUB']"
5,Dragon Ball Super: Super Hero,https://img.zorores.com/_r/300x400/100/e3/a0/e3a0c29bf713cc99e35de227eb9c93d8/e3a0c29bf713cc99e35de227eb9c93d8.jpg,['SUB']
6,Hanako,https://img.zorores.com/_r/300x400/100/9e/21/9e218eacea3adb9617e2c29086374f39/9e218eacea3adb9617e2c29086374f39.jpg,['SUB']
7,JoJo's Bizarre Adventure: Stone Ocean Part 3,https://img.zorores.com/_r/300x400/100/b5/9e/b59e46f13d954d950eeae33bed2b5df8/b59e46f13d954d950eeae33bed2b5df8.jpg,"['SUB', 'DUB']"
8,The Infinitors,https://img.zorores.com/_r/300x400/100/52/d2/52d277de317f4f36528017b2437e0183/52d277de317f4f36528017b2437e0183.jpg,['SUB']
9,Apotheosis,https://img.zorores.com/_r/300x400/100/9c/92/9c927d8b129c4ed946daaa19f8c1f9fb/9c927d8b129c4ed946daaa19f8c1f9fb.png,['SUB']
10,Tonikawa: Over the Moon for You - Uniform,https://img.zorores.com/_r/300x400/100/e0/b4/e0b4699724197278f7e0f2daa2de8782/e0b4699724197278f7e0f2daa2de8782.jpg,['SUB']
11,Detective Conan Movie 25: The Bride of Halloween,https://img.zorores.com/_r/300x400/100/8f/85/8f853b563b758977252bcfc34c7b34f0/8f853b563b758977252bcfc34c7b34f0.jpg,['SUB']
12,Detective Conan: Love Story at Police Headquarters - Wedding Eve,https://img.zorores.com/_r/300x400/100/f5/00/f500125d43b070fb2460fc0eceb783f3/f500125d43b070fb2460fc0eceb783f3.jpg,['SUB']
13,Blood and heart: The legendary life of a Japanese youth in China,https://img.zorores.com/_r/300x400/100/50/78/5078b9d65ddf14fe7f696ed85617edd4/5078b9d65ddf14fe7f696ed85617edd4.jpg,['SUB']
14,Kagejitsu!,https://img.zorores.com/_r/300x400/100/1b/1a/1b1a6fe3947e517a2eb8e3a0d8de91e8/1b1a6fe3947e517a2eb8e3a0d8de91e8.jpg,['SUB']
15,The Land of Miracles,https://img.zorores.com/_r/300x400/100/da/61/da61109d5525406b68c11ad4e809ad7c/da61109d5525406b68c11ad4e809ad7c.png,['SUB']
16,Road of Naruto,https://img.zorores.com/_r/300x400/100/fd/41/fd414879634ea83ad2c4fc1c33e8ac43/fd414879634ea83ad2c4fc1c33e8ac43.jpg,['SUB']
17,Exception,https://img.zorores.com/_r/300x400/100/ef/0f/ef0f5749d3121caad3f6e42f896b24fe/ef0f5749d3121caad3f6e42f896b24fe.jpg,"['SUB', 'DUB']"
18,Peter Grill and the Philosopher's Time: Super Extra (Uncensored),https://img.zorores.com/_r/300x400/100/75/96/7596481a1afe856dd75c19129ef358eb/7596481a1afe856dd75c19129ef358eb.jpg,['SUB']
19,One Piece - Wano Kuni SP,https://img.zorores.com/_r/300x400/100/fd/75/fd758a025129d9fb3806b27d3e5f428b/fd758a025129d9fb3806b27d3e5f428b.jpg,['SUB']
20,Immoral Guild (Uncensored),https://img.zorores.com/_r/300x400/100/4f/64/4f645a28a45c1d7a3ee3112e592c7c93/4f645a28a45c1d7a3ee3112e592c7c93.jpg,['SUB']
21,The Story of Fengzhi Senla,https://img.zorores.com/_r/300x400/100/5f/ad/5fad7d5886134e5ab156aa498397467f/5fad7d5886134e5ab156aa498397467f.jpg,['SUB']
22,Punirunes,https://img.zorores.com/_r/300x400/100/3d/b0/3db0bca70f5b1f0ed030d0e83fca77be/3db0bca70f5b1f0ed030d0e83fca77be.jpg,['SUB']
23,Lucifer and the Biscuit Hammer Recap,https://img.zorores.com/_r/300x400/100/d8/0e/d80e9731f9d71a0a51ac001c704c8665/d80e9731f9d71a0a51ac001c704c8665.jpg,['SUB']
24,Ginga Eiyuu Densetsu: Die Neue These 4th Season,https://img.zorores.com/_r/300x400/100/13/36/1336a7b4726feec77a8fec326e9cc78f/1336a7b4726feec77a8fec326e9cc78f.jpg,['SUB']
25,Shadowverse Flame Special Episode,https://img.zorores.com/_r/300x400/100/92/d4/92d450f359157aba4d4f663936300fe7/92d450f359157aba4d4f663936300fe7.jpg,['SUB']
26,No Doubt In Us 2nd Season,https://img.zorores.com/_r/300x400/100/6f/46/6f46e554db1b7e14c6523dfbb49cf90c/6f46e554db1b7e14c6523dfbb49cf90c.png,['SUB']
